Date,Day,Training Day,Days from Game,Week Structure,Turnaround,Training Group,Training Involvement,Opposition,Week Number,Session,Focus,Data Type,Position,Name,Period Name,Total Distance (m),Work Distance (m),+5m/s Distance (m),+6m/s Distance (m),+7m/s Distance (m),Individual High Speed Distance (m),60% Total Distance (m),70% Total Distance (m),80% Total Distance (m),90% Total Distance (Set 2) (m),Accel Decel Distance (m),Accel Distance (m),Accel Decel Efforts,Accel Efforts,Acceleration Metres/Minute,High Accel Distance (m),High Intensity Efforts 1,High Intensity Efforts 2,HSR Density,IMA Total,Individual High Metabolic Distance (m),50% Total Distance (Set 2) (m),60% Total Distance (Set 2) (m),70% Speed Total Distance (Set 2) (m),80% Speed Total Distance (Set 2) (m),Acceleration Density,Acceleration Density Index,Max Vel (% Max),Maximum Velocity (m/s),Meterage Per Minute,Player Load (1D Fwd),Player Load (2D),Player Load (Slow),Player Load Per Metre,Player Load Per Minute,Total Acceleration Load,Total Duration,Average Scrum Count (Session),Average Scrum Duration,Scrum Count,High Accel Total Distance (m),High Accel Total Effort Count,High Deccel  Total Distance (m),High Deccel Total Effort Count,Mod Accel Total Distance (m),Mod Accel Total Effort Count,Position Name,Equivalent Distance (m),High Speed Total Distance (m),Jog Total Distance (m),Abs Sprint Total Distance (m),Stride Total Distance (m),Top Speed 1 Total Distance (m),Top Speed 2 Total Distance (m),Top Speed 2 Total Effort Count,Top Speed 1 Total Effort Count,Stride Total Effort Count,60% Total Effort Count (Set 2),70% Total Effort Count (Set 2),80% Total Effort Count (Set 2),90% Total Effort Count (Set 2),Tackle Count,Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m),Deceleration B2-3 Distance (Gen 2) (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Acceleration B2-3 Distance (Gen 2) (m),Gen 2 Accel Distance (m),Max Acceleration,Max Deceleration,Deceleration B2-3 Total Efforts (Gen 2),Deceleration B2 Efforts (Gen 2),Deceleration B3 Efforts (Gen 2),Acceleration B2 Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Acceleration B2-3 Total Efforts (Gen 2),Individual High Speed/Min,Individual Sprint Metres/Min,60% Mtrs/Min,70% Mtrs/Min,High Speed Mtrs/Min
07/01/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Back 3,Player1,period,2512,1908,216,11,0,295,52,0,0,0,203,11,11,5,1,0,12,4,5,15,313,242,52,0,0,0,2,65,6.2,121,132,173,45,0,13,418,0,0,0,0,0,0,0,0,11,5,Back 3,2662,205,1069,0,623,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,2.4,-2.7,0,0,0,0,0,0,14,3,0,0,
07/01/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player2,period,3266,2166,411,149,0,473,172,3,0,0,460,103,50,26,8,16,29,28,8,0,633,301,169,3,0,0,2,71,7,156,186,319,96,0,19,592,0,0,0,0,7,1,10,3,97,25,Back,0,262,966,0,789,0,0,0,0,36,8,1,0,0,24,9,1,10,6,1,7,7,3.7,-4.7,6,5,1,7,0,7,23,8,0,0,
07/01/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player3,period,2207,1670,226,65,0,357,115,8,0,0,249,30,18,10,2,11,20,12,8,0,409,242,108,8,0,0,2,72,6.7,106,105,146,40,0,10,413,0,0,0,0,8,2,3,2,23,8,Back 3,0,161,587,0,856,0,0,0,0,39,7,1,0,0,4,3,0,3,8,0,8,8,3.3,-4,4,4,0,3,0,3,17,6,0,0,
07/01/19,Monday,Day 1,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Outhalf,Player4,period,2452,1812,381,33,0,1024,159,20,0,0,286,43,28,18,4,17,37,36,8,183,1102,865,139,20,0,0,2,77,6.8,118,192,304,99,0,21,490,0,0,0,0,8,5,9,1,35,13,Outhalf,2857,348,553,0,878,0,0,0,0,24,14,3,0,0,19,9,1,9,8,0,8,8,3.4,-3.8,6,6,0,4,0,4,49,8,0,0,
07/02/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Back 3,Player1,period,4497,2939,1325,485,231,1123,320,154,48,0,759,276,126,99,10,67,73,54,5,0,1473,803,165,107,48,1,2,90,8.9,123,271,468,167,0,17,1113,0,0,0,0,61,18,6,2,215,81,Back,0,745,1057,108,857,39,0,0,2,64,14,5,3,0,40,2,4,6,0,0,0,0,3.1,-1.7,0,0,0,1,0,1,,,,,
07/02/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player2,period,4543,2939,1025,279,147,1123,320,154,48,0,759,276,126,99,10,67,73,54,5,0,1473,803,165,107,48,1,2,90,8.9,123,271,468,167,0,17,1113,0,0,0,0,61,18,6,2,215,81,Back,0,745,1057,108,857,39,0,0,2,64,14,5,3,0,40,1,0,1,17,9,26,26,6.1,-2.5,0,0,0,1,3,4,,,,,
07/02/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player3,period,3918,2763,1239,339,100,1468,719,129,73,0,588,212,88,65,7,60,74,48,4,0,1709,749,590,56,73,0,2,86,8.1,106,184,279,96,0,11,899,0,0,0,0,53,16,7,5,158,49,Back 3,0,900,944,90,580,9,0,0,1,57,21,5,3,0,30,0,0,0,21,3,24,24,4.3,-2.3,0,0,0,1,2,3,,,,,
07/02/19,Tuesday,Day 2,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Outhalf,Player4,period,3961,2966,1241,432,106,1601,767,163,80,0,702,262,113,83,8,53,66,43,4,0,1896,834,605,83,80,0,3,89,8.1,107,134,213,80,0,10,1001,0,0,0,0,45,11,9,4,218,72,2nd Row,0,809,920,97,806,9,0,0,1,67,23,8,4,0,13,0,0,0,17,2,19,19,4.4,-1.9,0,0,0,3,1,4,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Back 3,Player1,period,4896,3119,955,613,390,848,502,304,121,0,1026,352,150,121,9,58,101,46,11,102,1264,346,198,183,121,1,3,87,9.2,101,232,329,146,0,11,1518,0,0,0,0,52,12,5,3,300,109,Back 3,5781,343,1798,163,365,210,18,2,9,47,21,13,8,0,4,5,0,5,48,5,52,52,4.4,-4.7,7,5,2,7,4,11,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Whole Session,Centre,Player2,period,5671,3569,839,464,268,891,494,287,78,0,1246,401,178,134,10,76,107,124,12,0,1380,397,207,209,78,1,3,89,8.8,117,403,714,289,0,20,1837,0,0,0,0,71,21,5,4,330,113,Back,0,375,2065,206,665,62,0,0,4,78,26,13,5,0,175,5,0,5,67,4,71,71,4.4,-4.1,10,9,1,18,2,20,,,,,
